real_x,real_y,real_z
0.535808,-0.0093581,0.286634
0.535799,-0.0093092,0.28665
0.535788,-0.00926148,0.28666
0.535779,-0.00922176,0.286671
0.535771,-0.00917822,0.286684
0.53576,-0.00912588,0.2867
0.535748,-0.00907571,0.286712
0.535741,-0.00903663,0.286724
0.53573,-0.00899529,0.286735
0.535719,-0.00894639,0.286747
0.535708,-0.00889586,0.286763
0.535699,-0.00884145,0.28678
0.535691,-0.00880214,0.286794
0.535682,-0.00875807,0.286806
0.535671,-0.00870479,0.286822
0.535661,-0.00866193,0.286831
0.535651,-0.00860687,0.286848
0.535642,-0.00856702,0.286859
0.535634,-0.0085198,0.286876
0.535623,-0.00847589,0.28689
0.535613,-0.00842653,0.286904
0.535604,-0.00837304,0.286919
0.535595,-0.00832614,0.286932
0.535587,-0.00827811,0.286948
0.535579,-0.00822762,0.286967
0.535572,-0.00817803,0.286982
0.535564,-0.00812619,0.287
0.535553,-0.00807578,0.287015
0.535544,-0.00802625,0.287028
0.535537,-0.00797269,0.287046
0.535528,-0.00792321,0.287062
0.53552,-0.00787546,0.287079
0.53551,-0.00782246,0.287094
0.535502,-0.00777174,0.287111
0.535495,-0.00772209,0.287131
0.535487,-0.00766959,0.287146
0.535478,-0.00762063,0.287164
0.53547,-0.00757004,0.28718
0.53546,-0.00751626,0.287196
0.535452,-0.00746524,0.287214
0.535444,-0.00741149,0.287233
0.535435,-0.00735766,0.28725
0.535428,-0.00730397,0.287272
0.535419,-0.00724509,0.287295
0.53541,-0.00719562,0.287308
0.535404,-0.00714461,0.287328
0.535395,-0.00709307,0.287347
0.535387,-0.00703797,0.287367
0.53538,-0.00698114,0.287389
0.53537,-0.00691701,0.287413
0.535361,-0.00686947,0.287431
0.535354,-0.00681418,0.287451
