target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,force_x,force_y,force_z,qw,qx,qy,qz
0.463471,-0.206494,0.246299,0.463628,-0.206279,0.246442,-0.00015775,-0.000215135,-0.000143601,-0.087063,-0.122498,-0.0719448,0.505674,-0.500076,0.494871,0.49932
0.463469,-0.206497,0.246297,0.463629,-0.206276,0.246443,-0.000160085,-0.00022074,-0.00014606,-0.0850027,-0.132259,-0.0768391,0.50567,-0.500079,0.494871,0.499321
0.463467,-0.2065,0.246296,0.46363,-0.206275,0.246443,-0.000163668,-0.000224513,-0.000147153,-0.0875015,-0.126471,-0.0668623,0.505671,-0.500079,0.49487,0.499321
0.463464,-0.206503,0.246295,0.46363,-0.206275,0.246444,-0.000166036,-0.000227646,-0.000148913,-0.0843008,-0.120196,-0.0691865,0.505668,-0.500078,0.494872,0.499323
0.463462,-0.206505,0.246293,0.46363,-0.206275,0.246442,-0.000168065,-0.000230376,-0.000148341,-0.0763159,-0.107918,-0.0534905,0.505671,-0.500079,0.49487,0.499321
0.46346,-0.206508,0.246292,0.463631,-0.206272,0.246444,-0.000170716,-0.000236317,-0.00015225,-0.0794111,-0.124427,-0.0714254,0.505668,-0.500078,0.494871,0.499324
0.463458,-0.206511,0.246291,0.463632,-0.206274,0.246446,-0.000173898,-0.000237632,-0.000155012,-0.0821952,-0.0993922,-0.0723212,0.50567,-0.500083,0.494869,0.49932
0.463456,-0.206514,0.246289,0.463633,-0.206271,0.246447,-0.000177388,-0.00024312,-0.000158072,-0.0907735,-0.117275,-0.0826857,0.505667,-0.500083,0.494869,0.499323
0.463454,-0.206517,0.246288,0.463632,-0.206272,0.246445,-0.00017811,-0.00024466,-0.00015698,-0.0753825,-0.105028,-0.0574662,0.505668,-0.500081,0.49487,0.499323
0.463451,-0.20652,0.246287,0.463631,-0.206271,0.246443,-0.000179935,-0.000248553,-0.000156273,-0.071418,-0.113135,-0.0453094,0.505668,-0.500079,0.494869,0.499324
